1	MLXXXAA	2024-10-13 02:09:46.000000	\N	\N	\N
2	MLXXXAB	2024-10-13 04:09:46.000000	\N	\N	\N
3	MLXXXAB	2024-10-13 05:09:46.000000	\N	\N	\N
4	MLXXXAB	2024-10-13 06:09:46.000000	\N	\N	\N
5	MLXXXAB	2024-10-13 07:09:46.000000	\N	\N	\N
6	MLXXXAB	2024-10-13 08:09:46.000000	\N	\N	\N
7	MLXXXAB	2024-10-13 09:09:46.000000	\N	\N	\N
8	MLXXXAB	2024-10-13 10:09:46.000000	\N	\N	\N
9	MLXXXAB	2024-10-13 11:09:46.000000	\N	\N	\N
10	MLXXXAB	2024-10-13 12:09:46.000000	\N	\N	\N
11	MLXXXAB	2024-10-13 13:09:46.000000	\N	\N	\N
12	MLXXXAB	2024-10-13 14:09:46.000000	\N	\N	\N
13	MLXXXAB	2024-10-13 15:09:46.000000	\N	\N	\N
14	MLXXXAB	2024-10-13 16:09:46.000000	\N	\N	\N
15	MLXXXAB	2024-10-13 17:09:46.000000	\N	\N	\N
16	MLXXXAB	2024-10-13 18:09:46.000000	\N	\N	\N
17	MLXXXAB	2024-10-13 19:09:46.000000	\N	\N	\N
18	MLXXXAB	2024-10-13 20:09:46.000000	\N	\N	\N
19	MLXXXAB	2024-10-13 21:09:46.000000	\N	\N	\N
20	MLXXXAB	2024-10-13 22:09:46.000000	\N	\N	\N
21	MLXXXAB	2024-10-13 23:09:46.000000	\N	\N	\N
22	MLXXXAB	2024-10-14 00:09:46.000000	\N	\N	\N
23	MLXXXAB	2024-10-14 01:09:46.000000	\N	\N	\N
24	MLXXXAB	2024-10-14 02:09:46.000000	\N	\N	\N
25	MLXXXAB	2024-10-14 03:09:46.000000	\N	\N	\N
26	MLXXXAB	2024-10-14 04:09:46.000000	\N	\N	\N
27	MLXXXAB	2024-10-14 05:09:46.000000	\N	\N	\N
28	MLXXXAB	2024-10-14 06:09:46.000000	\N	\N	\N
29	MLXXXAB	2024-10-14 07:09:46.000000	Submission notes for 29	\N	\N
30	MLXXXAB	2024-10-14 08:09:46.000000	Submission notes for 30	\N	\N
31	MLXXXAB	2024-10-14 09:09:46.000000	Submission notes for 31	\N	\N
32	MLXXXAB	2024-10-14 10:09:46.000000	Submission notes for 32	\N	\N
33	MLXXXAB	2024-10-14 11:09:46.000000	Submission notes for 33	\N	\N
34	MLXXXAB	2024-10-14 12:09:46.000000	Submission notes for 34	\N	\N
35	MLXXXAB	2024-10-14 13:09:46.000000	Submission notes for 35	\N	\N
36	MLXXXAB	2024-10-14 14:09:46.000000	Submission notes for 36	\N	\N
37	MLXXXAB	2024-10-14 15:09:46.000000	Submission notes for 37	\N	\N
